id,dominio,tarea,claseUX,clasePrimaria,hoy,superficieCRI9,origenDeLaUbicacion,motivo,expanded,medium,compact,rutaPuntero,rutaTactil,precision,criticidad,decisionCRI8
SHL-11,Shell,Cambiar el sistema de unidades,8 Configuración / preferencias,8,TopBar zona contexto + «Más» › Preferencias.,preferences,decisión CRI-9,D-09.,drawer invocado,drawer invocado,sheet invocada,Select.,Select de 58×30 — bajo el mínimo táctil.,No.,esencial,"Es preferencia, pero de consecuencia visible inmediata en cada cifra. ¿Preferencia o contexto de lectura?"
SHL-12,Shell,Cambiar el idioma,8 Configuración / preferencias,8,Welcome (cabecera y drawer) + «Más» › Preferencias. NO está en el TopBar de Expanded fuera del cajón.,preferences,decisión CRI-9,D-09.,drawer invocado,drawer invocado,sheet invocada,Select.,Select.,No.,configuración,Ubicación correcta hoy; el problema es que comparte cajón con Deshacer.
SHL-13,Shell,Cambiar el tema (claro / oscuro),8 Configuración / preferencias,8,"CUATRO sitios: Welcome, «Más», Command Palette, y Space3D con su propia lógica.",preferences,decisión CRI-9,D-09 + D-15: una sola resolución de tema en todo el producto.,drawer invocado,drawer invocado,sheet invocada,Comando de paleta o botón.,Tap.,No.,configuración,"Space3D duplica la resolución de tema — infracción de ""no duplicar lógica por presentación""."
SHL-14,Shell,Abrir Model Doctor,2 Contextual a proyecto/análisis,2,"Botón propio en TopBar (oculto por CSS bajo 1024px), «Más» (3.ª entrada), paleta, AnalysisStatus, Results fallido.",doctor,decisión CRI-9,D-09: lanzador propio con recuento en las TRES clases; hoy desaparece bajo 1024px (F-06).,drawer lateral,drawer lateral con `peek` al localizar,sheet/fullscreen con `peek` al localizar,Tab + Enter; también desde la paleta.,Dos toques en Compact.,No.,esencial,¿El acceso debe ser permanente o debe aparecer cuando HAY hallazgos? El toast ya sabe cuándo los hay.
SHL-15,Shell,Abrir la hoja de datos (Datasheet),9 Fullscreen / datos densos,9,Icono en TopBar + paleta. En Compact el icono NO se oculta (a diferencia de Model Doctor).,dense,decisión CRI-9,D-11.,drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,"Tab + Enter, o paleta.",Tap.,No.,esencial,¿El Datasheet es un destino modal o una vista coordinada? Hoy es modal y cerrarse es parte de enfocar un objeto (DAT-10).
SHL-16,Shell,Ocultar / mostrar el Inspector,8 Configuración de layout (hoy) / debería estudiarse como 4 Canvas-local,8,SÓLO dentro del menú «Más» › Vistas.,layout-intent,decisión CRI-9,D-04: deja de ser una entrada de menú y pasa a ser `dockIntent` del dock de detalle.,"Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).","Tres pasos: abrir «Más», bajar a Vistas, activar.",Igual.,No.,contextual,FUNCIÓN DEMASIADO ESCONDIDA nº 2. El control que más canvas-budget devuelve está a tres pasos dentro de un cajón de 19 entradas.
SHL-17,Shell,Entrar/salir de «mesa completa»,8 Configuración de layout,8,SÓLO «Más» › Vistas.,layout-intent,decisión CRI-9,"D-04: `focusCanvas`, único conmutador de enfoque.","Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).",Tres pasos.,Igual.,No.,contextual,Se solapa con SHL-16 sin que la diferencia sea evidente: ocultar Inspector vs mesa completa.
SHL-18,Shell,Contraer el ToolRail a iconos,8 Configuración de layout,8,SÓLO «Más» › Vistas.,layout-intent,decisión CRI-9,D-04: `dockIntent` del rail; en Medium ya es el defecto calculado.,"Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).",Tres pasos.,Igual.,No.,contextual,El usuario tiene que corregir a mano un reparto que la app debería proponer bien. CRI-9 debe fijar el valor por defecto por clase de ventana.
SHL-19,Shell,Redimensionar el Inspector,4 Canvas-local (negocia el reparto con el lienzo),4,Borde izquierdo del Inspector.,layout-intent,decisión CRI-9,"D-04: el ancho es una intención acotada por el resolutor, no un inline incondicional.","Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).",Arrastre o flechas/Home/End con foco en el separador.,Arrastre; el tirador es fino.,Sí: el tirador es una banda estrecha.,contextual,El default de 320px es el que produce el canvas-budget invertido. La palanca existe; el punto de partida está mal.
SHL-20,Shell,Elegir el detent de la hoja Inspector en táctil,6 Workflow temporal / hoja,6,Grupo de tres botones en la cabecera de la hoja.,layout-intent,decisión CRI-9,D-04: el detent preferido es una intención; su normalización por viewport se conserva.,"Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).","Intención de layout, no superficie: lo consume el resolutor (D-04).",Tab + Enter.,Tap. NO hay arrastre del tirador para cambiar detent.,No.,contextual,Los detents son la respuesta táctil al mismo problema que el ancho resuelve en puntero. Medium no tiene NINGUNA de las dos.
SHL-21,Shell,Conocer el estado de persistencia y conectividad,1 Global persistente,1,Chip en TopBar (colapsa a icono en Compact) y bloque con descripción dentro de «Más».,topbar,decisión CRI-9,D-08: además es la puerta a la superficie de recuperación.,band,band,"band (identidad comprimida, acciones a iconos de 44px)","Es informativo, no accionable.",Igual.,No.,esencial,"HUECO: el estado `conflict` informa pero no ofrece acción. La restauración vive en el Project Hub, en otra pantalla (ENT-09)."
SHL-22,Shell,Exportar el proyecto y compartirlo,2 Contextual a proyecto + 8 Configuración/utilidad,2,Menú de exportación (icono propio) en TopBar + sección Exportar de «Más» (las 7 repetidas) + 4 comandos en la paleta.,output,decisión CRI-9,D-09: las 21 afordancias colapsan a una entrada + paleta.,drawer invocado desde una única entrada,drawer invocado,sheet invocada,Menú con navegación por flechas.,Tap.,No.,esencial,"Siete salidas × tres puertas = 21 afordancias para una familia de baja frecuencia. Es el caso más claro de ""duplicación innecesaria""."
SHL-23,Shell,Recibir avisos transitorios (toasts),1 Global persistente (canal),1,"Sobre el lienzo, dentro del `workspace` slot.",status,decisión CRI-9,Canal de estado.,overlay,overlay,"overlay (por encima del dock, respetando safe-area)",No es accionable.,Igual.,No.,contextual,¿Qué merece toast y qué merece estado persistente? Hoy el toast de Model Doctor compite con el chip de AnalysisStatus.
SHL-24,Shell,Actualizar la app instalada (PWA),1 Global persistente,1,Aviso propio.,status,decisión CRI-9,Aviso de actualización de la PWA.,overlay,overlay,"overlay (por encima del dock, respetando safe-area)",Tab + Enter.,Tap.,No.,secundaria,—
MOD-01,Modelado,Elegir herramienta activa,1 Global persistente (crear) + 4 Canvas-local,1,ToolRail (164px permanentes en Expanded) + dock flotante de 5 botones en Compact.,toolrail,decisión CRI-9,Crear no puede ser contextual a la selección: es el límite duro del principio Shapr3D.,dock 164px con etiquetas,"dock 76px sólo iconos (el tier que hoy es código muerto, F-01)",floating — dock horizontal de 5 destinos sobre el lienzo (se conserva tal cual),Tecla única por herramienta (`toolFromShortcut`). Es la ruta más rápida del producto.,"Tap en el dock; las herramientas secundarias viven en dos hojas modales (`loads`, `more`).",No para elegir; sí para usar (ver SEL/CNV).,esencial,Las herramientas de CREACIÓN no pueden depender de la selección (no hay nada seleccionado al crear). Las de EDICIÓN sí. El rail hoy no distingue.
MOD-02,Modelado,Crear un nudo,4 Canvas-local,4,"Lienzo, con la herramienta activa.",canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),N + clic. Snap a rejilla/nudos/puntos medios/intersecciones/perpendicular según `snapTargets`.,Tap con lupa activa durante la colocación (`syncTouchLoupe`).,Sí. Resuelta con: snap configurable + lupa táctil + entrada numérica.,esencial,—
MOD-03,Modelado,Crear una barra,4 Canvas-local + 6 Workflow temporal (los dos tiempos),4,Lienzo.,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),M + dos clics; Escape cancela a medio camino.,Dos taps con lupa.,Sí: el segundo punto debe caer en un nudo concreto.,esencial,"El patrón ""operación en dos tiempos con estado intermedio"" existe aquí, en cut y en la edición estructural. ¿Es un patrón del sistema?"
MOD-04,Modelado,Aplicar o cambiar un apoyo,3 Contextual a selección + 5 Inspector/detail,3,"Lienzo (rápido, tipo por defecto) + Inspector (completo) + Datasheet (columna) + Bulk Edit (masivo).",detail,regla (clase 3),Contextual a selección: presencia gobernada por la selección.,dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",S + clic para el rápido; Tab en el Inspector para el detalle.,Tap con herramienta; hoja Inspector para el detalle.,Sí: el apoyo se aplica a un nudo concreto entre varios cercanos.,esencial,La herramienta `support` del rail está SIEMPRE visible aunque no haya nudo; la edición fina está SIEMPRE visible aunque no haya selección. Ambas mitades son candidatas a contexto.
MOD-05,Modelado,Colocar una carga puntual,4 Canvas-local + 3 Contextual a selección,4,Lienzo + hoja «Cargas» del dock táctil + pestaña Cargas del Inspector (que sólo ELIGE la herramienta y cierra).,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),P + clic.,Tap → hoja → tap herramienta → tap destino (tres toques).,Sí: distinguir nudo de barra de carga existente en el mismo punto.,esencial,En Compact colocar una carga cuesta 3 toques frente a 2 en Expanded. ¿Es aceptable o es el precio de no tener rail?
MOD-06,Modelado,Colocar una carga distribuida,4 Canvas-local + 3 Contextual a selección,4,Lienzo + hoja «Cargas» + Inspector › Cargas.,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),D + arrastre/clic sobre la barra.,Tres toques.,Sí: el tramo se define sobre la barra.,esencial,—
MOD-07,Modelado,Colocar un momento,4 Canvas-local + 3 Contextual a selección,4,Lienzo + hoja «Cargas» + Inspector › Cargas.,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),O + clic.,Tres toques.,Sí.,esencial,—
MOD-08,Modelado,Dividir una barra (Split),3 Contextual a selección + 4 Canvas-local,3,Rail grupo «Editar» + hoja «Más» táctil + paleta.,detail,regla (clase 3),Contextual a selección: presencia gobernada por la selección.,dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",B + clic en el punto.,Dos niveles + tap.,Sí: el punto de división importa.,esencial,"El ocultamiento por modo Aula ya es un precedente de ""capacidad presente, exposición contextual"". CRI-9 puede generalizarlo."
MOD-09,Modelado,Borrar objetos,3 Contextual a selección,3,Rail (destructiva) + tecla + hoja «Más».,contextual-actions,decisión CRI-9,D-07: borrar deja de costar 3 pasos en táctil.,inset — barra anclada al borde del lienzo mientras hay selección,inset,inset — banda sobre el dock de herramientas mientras hay selección,Delete/Backspace sobre la selección. Es la ruta natural.,"SIN TECLADO: hay que entrar en la hoja «Más», elegir la herramienta destructiva y tocar el objeto. Tres pasos para borrar.","Sí, y con consecuencia irreversible-en-un-paso.",esencial,Borrar en táctil cuesta 3 pasos y no tiene deshacer accesible sin teclado (SHL-03 no tiene atajo y en Compact vive en «Más»). Es un hueco real.
MOD-10,Modelado,"Transformar la selección (mover, rotar, espejo, matriz, alinear, distribuir)",3 Contextual a selección + 6 Workflow temporal,3,"Lanzador `open-structural-edit` que SÓLO aparece en el grupo «Editar» del rail cuando hay selección válida, y en la hoja «Más» táctil bajo la misma condición.",contextual-actions,decisión CRI-9,D-07: ya es el precedente interno (`canEditSelection`).,inset — barra anclada al borde del lienzo mientras hay selección,inset,inset — banda sobre el dock de herramientas mientras hay selección,Arrastre para el gesto; campos numéricos para exactitud; Escape cancela el borrador.,Arrastre + campos. La lupa acompaña el arrastre.,"Sí, y está resuelta por la doble vía gesto+número.",esencial,"ESTE ES EL PATRÓN A GENERALIZAR: aparece por selección, ocupa espacio sólo mientras dura, previsualiza y se cancela con Escape."
MOD-11,Modelado,Entrada numérica rápida durante la colocación,6 Workflow temporal,6,"Sobre el lienzo, durante la colocación.",transient,regla (clase 6),Workflow temporal: superficie efímera con ciclo de vida registrado.,overlay sobre el lienzo,overlay,overlay,Teclear + Enter.,Teclado en pantalla; compite con la lupa por el espacio.,ES la respuesta a la precisión: entrada exacta sin puntería.,esencial,"Es la ruta de precisión que NO depende del método de entrada. Merece ser primera clase, no un accesorio de la colocación."
MOD-12,Modelado,Repetir la última operación (Repeat),3 Contextual a selección,3,Tecla `R` + overlay contextual sobre el lienzo.,contextual-actions,decisión CRI-9,D-07: Repeat deja de existir sólo bajo la tecla R (U-03).,inset — barra anclada al borde del lienzo mientras hay selección,inset,inset — banda sobre el dock de herramientas mientras hay selección,`R` sobre la selección.,UNKNOWN: no se verificó una ruta táctil independiente del teclado.,No.,contextual,"Función potente sin ruta de menú ni entrada en la paleta. Si el teclado falla, no existe."
MOD-13,Modelado,"Copiar, pegar y duplicar",3 Contextual a selección + 7 Power-user,3,"SÓLO por teclado. No hay botón, entrada de menú ni comando de paleta para copiar/pegar/duplicar.",contextual-actions,decisión CRI-9,D-07: copiar/pegar/duplicar gana su primera afordancia visible y su primera ruta táctil.,inset — barra anclada al borde del lienzo mientras hay selección,inset,inset — banda sobre el dock de herramientas mientras hay selección,Ctrl+C / Ctrl+V / Ctrl+D.,NO EXISTE. Hueco funcional real en Compact táctil.,No.,esencial,"HUECO DE ACCESO CONFIRMADO: copiar/pegar/duplicar no tienen ninguna ruta táctil. La restricción ""no crear versión funcional separada para móvil"" está incumplida aquí."
MOD-14,Modelado,Generar una estructura completa,1 Global persistente (crear) + 6 Workflow temporal,1,Botón propio en el grupo «Crear» del rail + hoja «Más» › Crear + comando de paleta.,toolrail,decisión CRI-9,Generar crea geometría: no depende de la selección. El código ya lo razona.,dock 164px con etiquetas,"dock 76px sólo iconos (el tier que hoy es código muerto, F-01)",floating — dock horizontal de 5 destinos sobre el lienzo (se conserva tal cual),Formulario extenso + elección del origen con el puntero (`pickGeneratorOrigin` en fase de captura).,Formulario + tap para el origen.,Sí para el origen; el resto es numérico.,esencial,"El generador es ""crear"" y no depende de selección; la edición estructural es ""transformar"" y sí depende. El rail los mezcla en el mismo espacio permanente."
MOD-15,Modelado,Medir con la herramienta de dimensión,4 Canvas-local,4,Rail grupo «Inspeccionar» + hoja «Más» + paleta.,canvas,regla (clase 4),Canvas-local: vive en el lienzo o en su superficie de vista.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),C + clics.,Dos niveles + taps.,Sí.,secundaria,—
MOD-16,Modelado,Hacer un corte para leer valores internos,3 Contextual a selección + 2 Contextual a análisis,3,Rail grupo «Inspeccionar» + hoja «Más» + paleta.,canvas,decisión CRI-9,El corte vive sobre el lienzo; su precondición (análisis correcto) debe comunicarse por D-14.,"layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),X + hover/clic sobre la barra.,Sin hover: hay que tocar. El corte fijado (`pinned`) es la respuesta táctil correcta.,Sí: la posición del corte es el dato.,contextual,"Herramienta que sólo funciona tras analizar, pero que está disponible siempre y no explica su precondición. Es el caso tipo de ""disabled sin explicación""."
