"ID","Dominio","Tarea de usuario","Objetivo del usuario","Implementación actual verificada","Archivos / componentes","Tests / QA / evidencia","Frecuencia esperada","Fuente de la frecuencia","Criticidad","Objeto / contexto del que depende","Precondiciones","Dónde vive hoy","Rutas alternativas actuales","Findings CRI-7 relacionados","Qué funciona bien y debe conservarse","Clasificación UX","Expanded: ruta funcional propuesta","Medium: ruta funcional propuesta","Compact: ruta funcional propuesta","Mouse / keyboard path","Touch path","Necesidad de precisión especial","¿Puede ser contextual a selección?","Visibilidad persistente o disclosure","Superficie apropiada","Disabled / loading / error","Feedback esperado","Focus / Escape / Cancel / Reset","Impacto en canvas-budget","Decisión para CRI-9","Patrón para CRI-10","Unknowns / preguntas abiertas"
"ENT-11","Entrada","Importar geometría desde DXF","Reutilizar un trazado hecho en CAD.","`DxfImportDialog` + `dxfParser`. Se lanza desde la Welcome mediante `Phase2DxfAction`, con carga perezosa. Genera una recuperación con `reason: ""dxf-import""`.","src/import/dxf/DxfImportDialog.tsx; src/import/dxf/dxfParser.ts; src/features/welcome/Phase2DxfAction.tsx; src/storage/projectRepository.ts:26","src/import/dxf/dxfParser.test.ts; src/import/dxf/DxfImportDialog.test.tsx","baja","inferencia","contextual","Archivo DXF.","Ninguna.","SÓLO en la Welcome.","Ninguna desde la mesa.","—","La importación deja rastro recuperable antes de escribir.","6 Workflow temporal","Diálogo.","Igual.","Igual.","Tab.","Selector de archivo nativo.","No.","No.","disclosure","modal / workflow","No verificados en detalle.","No verificado.","No verificado.","—","HUECO DE ACCESO: importar DXF sobre un modelo ya abierto exige volver a Inicio.","—","Estados de error del parser y su presentación."
"ENT-12","Entrada","Crear un ejercicio de Aula","Generar un enunciado a partir de una plantilla con parámetros.","`NewExerciseDialog`: modal sobre la propia Welcome (NO navega), con plantillas navegables por flechas/Home/End, validación por campo y reenfoque del primer campo inválido.","src/features/welcome/NewExerciseDialog.tsx","src/features/welcome/NewExerciseDialog.test.tsx; CRI-7 flujo 09a","baja","inferencia","contextual","Ninguno.","Ninguna.","Botón «Nuevo ejercicio» de la Welcome.","Ninguna.","F-05 (construido fuera del design system: estilos inline, radios 20/14/12/11/9/999, tipografías 9-10px, colores de reserva codificados).","ACCESIBILIDAD MODELO del producto: `role=""dialog""`, `aria-modal`, `aria-labelledby`+`aria-describedby`, trampa de foco, Escape, navegación roving y reenfoque del primer campo inválido. No debe perderse en ninguna reescritura.","6 Workflow temporal","Modal.","Modal.","Modal a pantalla casi completa.","Roving por flechas sobre plantillas; Escape cierra.","Tap + teclado en pantalla.","No.","No.","disclosure","modal / workflow","fieldError por campo.","Reenfoque del primer inválido tras envío fallido.","Trampa de foco + Escape + foco inicial dirigido.","—","Fuera de alcance: CRI-8 no diseña Aula vNext. Sólo se registra que la superficie existe.","Reconstruir este diálogo con `sc-*` SIN perder su accesibilidad.","Ninguno relevante para este mapa."
"ENT-13","Entrada","Renombrar el proyecto abierto","Dar identidad al documento en curso.","Input controlado en el TopBar con borrador local (`projectNameDraft`), commit en blur/Enter y cancelación con Escape.","src/features/topbar/TopBar.tsx:313-330, 191-197","src/features/topbar/TopBar.test.tsx; scripts/qa-topbar.mjs","media","inferencia","esencial","Proyecto abierto.","Estar en la mesa.","TopBar, zona documento.","ENT-07 renombra registros del hub, no el proyecto abierto. No es la misma tarea.","F-08 (en 320 y 360px el campo mide 8×44: no cabe un carácter). F-02 (260×24, bajo el mínimo de puntero).","Escape revierte al nombre guardado; el borrador nunca escribe a medias.","2 Contextual a proyecto","Campo visible en TopBar.","Igual.","Presente pero comprimido; por debajo de 375px es inusable (F-08).","Enter confirma, Escape revierte.","Tap + teclado en pantalla.","No.","No.","persistente","canvas chrome (TopBar)","Sin estado de error: un nombre vacío revierte al anterior.","El valor queda escrito; sin toast.","Escape hace blur.","Parte del 7-9% del TopBar.","¿La identidad del documento merece anchura permanente en Compact, o basta con verla y editarla bajo disclosure?","Campo de identidad de documento: cuándo es texto y cuándo es campo.","Frecuencia real de renombrado."
"ENT-14","Entrada","Volver a Inicio desde la mesa","Salir del editor sin perder el proyecto.","Botón de marca del TopBar (`brand-home-button`) con `aria-label` de navegación. Sólo cambia `screen`; el proyecto sigue en memoria.","src/features/topbar/TopBar.tsx:309-311; src/App.tsx","src/App.test.tsx","media","inferencia","esencial","Estar en la mesa.","Ninguna.","Marca del TopBar.","Ninguna.","—","La marca como botón de Inicio es descubrible y no gasta espacio adicional.","1 Global persistente","Marca 46px.","Igual.","La marca sobrevive; el nombre textual se retira.","Tab + Enter.","Tap.","No.","No.","persistente","canvas chrome (TopBar)","—","Navegación inmediata.","—","Parte del TopBar.","¿Sale sin avisar aunque haya trabajo sin guardar? Hoy sí; el autosave lo justifica pero no se comunica.","Marca-como-navegación.","—"
"ENT-15","Entrada","Abrir Space 3D","Entrar al dominio espacial experimental.","Dos orígenes distintos: `standalone` desde la Welcome y `workspace` desde el TopBar. Chunk propio con Three.js, cargado sólo al abrir.","src/App.tsx:16-31; src/features/topbar/TopBar.tsx:438-444, 501-503","src/features/space3d/Space3DWorkspace.test.tsx; scripts/check-space3d-capacity.mjs","baja","inferencia","secundaria","Origen (Inicio o mesa).","Ninguna.","Botón de icono del TopBar + tarjeta de la Welcome + menú «Más» en Compact.","Tres puertas.","§8 (Space 3D tratado aparte, experimental).","El coste (649 kB) sólo lo paga quien lo abre.","9 Fullscreen (dominio separado)","Icono en TopBar.","Igual.","Sólo dentro de «Más».","Tab + Enter.","Tap.","No.","No.","persistente en Expanded / disclosure en Compact","fullscreen","Suspense con fallback.","Pantalla nueva marcada «Experimental» (`space3d.experimentalNotice`).","No verificado el retorno al volver.","Un icono en el TopBar.","¿Un dominio experimental merece presencia permanente en el TopBar de Expanded? Es la pregunta, no la respuesta.","Marcado visual de ""experimental"" bajo Brandbook.","No se verificó qué se conserva al ir y volver entre 2D y Space3D."
"SHL-01","Shell","Ejecutar el análisis","Convertir el modelo en resultados.","Botón primario del TopBar (`analyze-button`, `size=""touch""`), con estado `loading` y `loadingLabel`. En modo Aula marca además `classroomSession.markAnalysisRequested()`. El solver corre en worker.","src/features/topbar/TopBar.tsx:249-254, 535-544; src/store/ProjectContext.tsx:202-240; src/runtime/workerHandlers.ts","src/features/topbar/TopBar.test.tsx; src/engine/solver.test.ts; CRI-7 flujo 03 (ok en 11 viewports)","alta","evidencia","esencial","Proyecto + caso/combinación seleccionados.","Modelo con geometría.","TopBar, extremo derecho, siempre visible.","Command Palette (`analysis:run`); botón de la tarjeta vacía de Results; acción del paso «Analizar» del guía de Aula.","—","Cuatro puertas coherentes a un solo `analyze()`. En Compact el botón colapsa a icono 44×44 sin perder la acción.","1 Global persistente","Botón con texto.","Botón con texto.","Icono 44×44.","Tab + Enter. NO tiene atajo de teclado propio.","Tap.","No.","No: no depende de la selección.","persistente","canvas chrome (TopBar)","loading (`isAnalyzing`) con `aria-busy` y etiqueta alternativa.","AnalysisStatus + apertura automática de la hoja de resultados en móvil.","Sin cancelación: no hay «detener análisis».","Parte del 7-9% del TopBar.","Es la única acción que justifica sin discusión presencia permanente. ¿Merece atajo de teclado?","Botón primario y su estado de carga.","No existe ruta para cancelar un análisis en curso."
"SHL-02","Shell","Saber en qué estado está el análisis","Distinguir sin resultado / analizando / resuelto / obsoleto / limitado / no fiable / fallido.","`AnalysisStatus` con modelo propio (`analysisStatusModel.ts`), enlazado a Model Doctor cuando procede. `resolveReliability` separa `success` de `reliable`.","src/features/topbar/AnalysisStatus.tsx; src/features/topbar/analysisStatusModel.ts; src/engine/reliability.ts; src/features/results/ResultsPanel.tsx:186-197","src/features/topbar/AnalysisStatus.test.tsx; src/engine/reliability.test.ts; src/features/results/reliabilityCopy.test.ts","alta","evidencia","esencial","Estado del solver + firma del proyecto.","Ninguna.","TopBar (chip) + cabecera del panel de Results (texto de estado).","Duplicación LEGÍTIMA: el chip responde «¿puedo confiar?» sin mirar; el texto de Results explica por qué.","F-03 (texto técnico y avisos a 9-10px).","La distinción `success ≠ reliable ≠ safe` está implementada de verdad, con `governing` check nombrado.","2 Contextual a proyecto/análisis","Chip en TopBar + estado en Results.","Igual.","El chip permanece; el estado de Results vive en la hoja.","Tab hasta el chip; enlaza a Model Doctor.","Tap.","No.","No.","persistente","canvas chrome + panel","ready, analyzing, resolved, limited, unreliable, review/failed, stale.","`role=""status""`, `aria-live=""polite""`.","—","Parte del TopBar.","Es candidato claro a «global persistente» aunque el resto de Results no lo sea. CRI-9 debe poder separarlos.","Escala de estados de fiabilidad: seis niveles con forma además de color.","Si el usuario distingue «limitado» de «no fiable» sin abrir el detalle."
"SHL-03","Shell","Deshacer","Revertir el último cambio del modelo.","Pila `past` de hasta 50 entradas con descripción (`HistoryEntry`). Botón en TopBar, entrada en «Más» y comando de paleta.","src/store/ProjectContext.tsx:40-41, 140-145, 526-536; src/features/topbar/TopBar.tsx:445-448, 478-481; src/features/workspace/CommandPalette.tsx:149-152","src/store/ProjectContext.test.tsx; src/features/topbar/TopBar.test.tsx","alta","inferencia","esencial","Historial no vacío.","`canUndo`.","TopBar (icono), menú «Más» (primer bloque), Command Palette.","Tres puertas.","F-06 (comparte cajón con idioma y tema en Compact).","El historial guarda descripción por entrada, no sólo el estado: permite explicar qué se deshace.","1 Global persistente","Par de iconos en TopBar.","Igual.","Dentro de «Más», en su propio grupo.","HUECO: la paleta anuncia `Ctrl Z` como atajo pero NINGÚN manejador lo enlaza. Verificado por búsqueda en todo `src/`: no existe handler de tecla Z fuera de un campo de coordenada de Space3D.","Tap en TopBar o en «Más».","No.","No.","persistente","canvas chrome","disabled cuando `!canUndo`.","El modelo cambia. Sin toast ni anuncio de qué se deshizo, pese a que la descripción existe en el estado.","—","Parte del TopBar.","DECISIÓN: implementar el atajo que la interfaz ya promete, o retirar la promesa. Hoy la paleta miente.","Anuncio de ""se deshizo X"" — la descripción ya existe y no se muestra.","Frecuencia real de undo."
"SHL-04","Shell","Rehacer","Reaplicar lo deshecho.","Pila `future`; mismas tres puertas que undo.","src/store/ProjectContext.tsx:41, 537-541","src/store/ProjectContext.test.tsx","media","inferencia","esencial","Pila `future` no vacía.","`canRedo`.","Idéntico a SHL-03.","Tres puertas.","F-06.","Simetría exacta con undo.","1 Global persistente","Icono.","Icono.","Dentro de «Más».","HUECO idéntico: la paleta anuncia `Ctrl Y` sin manejador.","Tap.","No.","No.","persistente","canvas chrome","disabled cuando `!canRedo`.","Igual que undo.","—","Parte del TopBar.","Mismo que SHL-03.","—","—"
"SHL-05","Shell","Abrir la paleta de comandos","Alcanzar cualquier acción por nombre sin recordar dónde vive.","`Ctrl/⌘+K` global en `WorkspaceShell`, botón dedicado en el grupo «Navegar» del ToolRail, y entrada en la hoja «Más» de Compact. Carga perezosa.","src/features/workspace/WorkspaceShell.tsx:188-197; src/features/canvas/ToolBar.tsx:140-165, 323; src/features/workspace/CommandPalette.tsx","src/features/workspace/CommandPalette.test.tsx","avanzada","inferencia","contextual","Estar en la mesa.","Model Doctor cerrado (el atajo se ignora si está abierto).","ToolRail + atajo + hoja «Más» móvil.","Tres puertas.","F-04 (el botón de paleta SÍ usa `sc-tool-button`; el de herramienta arrastra además la clase legacy).","No inventa acciones: cada entrada llama a un comando existente. Está documentado así en el propio archivo.","7 Power-user / Command Palette","Botón visible en el rail + atajo.","Igual.","Dentro de la hoja «Más» del dock táctil.","Ctrl/⌘K abre; flechas/Home/End navegan; Enter ejecuta; Escape cierra con retorno de foco.","Tap en la hoja «Más» → paleta. Funciona, pero teclear es el punto de la paleta.","No.","Parcialmente: el pie muestra la selección actual, pero los comandos no se filtran por ella.","persistente (rail) / disclosure (Compact)","modal","Comandos `disabled` cuando no hay análisis (pestañas de Results) o no hay historial.","Cierre inmediato + efecto de la acción.","Recuerda el elemento previo y lo restaura (`returnFocusRef`).","Nulo mientras está cerrada.","OPORTUNIDAD: la paleta ya conoce la selección pero no la usa para ordenar ni filtrar. Es el sitio natural del patrón ""acciones válidas para lo seleccionado"".","Item de paleta con grupo, pista y atajo.","Uso real en táctil."
"SHL-06","Shell","Navegar a un nudo o barra por identificador","Llegar a un objeto concreto en un modelo grande sin buscarlo a ojo.","La paleta enumera TODOS los nudos y barras del proyecto como comandos del grupo «navegar»; ejecutar selecciona y emite `focus-object`.","src/features/workspace/CommandPalette.tsx:235-260","src/features/workspace/CommandPalette.test.tsx","avanzada","inferencia","contextual","Nudos/barras existentes.","Paleta abierta.","Sólo en la paleta.","Datasheet permite buscar por texto y enfocar (DAT-10). Duplicación legítima: teclado rápido vs auditoría tabular.","—","Buscar por ID sin salir del teclado es exactamente lo que un modelo grande necesita.","7 Power-user","Paleta.","Paleta.","Paleta (vía «Más»).","Escribir el ID + Enter.","Posible pero incómodo.","Resuelve el problema de precisión SIN tocar el lienzo: es la ruta no espacial a un objeto pequeño.","No.","disclosure","modal","—","El lienzo centra el objeto (`focus-object`).","La paleta se cierra y devuelve el foco.","Nulo.","Con miles de entidades la lista es lineal: ¿escala? No se midió.","—","Rendimiento con modelos grandes; el generador admite hasta 2 000 entidades (`MAX_GENERATED_ENTITIES`)."
"SHL-07","Shell","Elegir caso de carga o combinación a analizar","Cambiar la hipótesis sin rehacer el modelo.","`selectedCombinationId` en `ProjectContext`; `select` en la zona de contexto del TopBar, réplica en «Más», y selector propio en la pestaña Cargas del Inspector.","src/features/topbar/TopBar.tsx:362-374, 486; src/features/inspector/Inspector.tsx:280; src/store/ProjectContext.tsx:358-363","src/features/topbar/TopBar.test.tsx; src/store/ProjectContext.test.tsx","alta","inferencia","esencial","Combinaciones definidas en el proyecto.","Ninguna.","TopBar zona contexto (oculta en Compact) + «Más» + Inspector › Cargas.","TRES puertas al mismo estado. La del Inspector está junto a donde se definen las combinaciones, y ésa es su justificación.","F-06 (la zona de contexto entera se va al cajón «Más» en Compact, mezclada con preferencias).","Cambiar de combinación invalida el análisis de forma explícita; no deja resultados de otra hipótesis en pantalla.","2 Contextual a proyecto/análisis","Select visible en TopBar.","Igual (la zona de contexto no se contrae por sí sola).","Dentro de «Más» › sección Análisis.","Select nativo.","Select nativo.","No.","No.","persistente en Expanded / disclosure en Compact","canvas chrome / modal","Sin `disabled`; con cero combinaciones sólo ofrece «casos activos».","Análisis invalidado; Results pasa a estado obsoleto.","—","Parte del TopBar.","Es el control que MÁS se parece a ""contextual a análisis"" y hoy vive fijo en el chrome global. Candidato número uno a reubicarse junto a los resultados.","Selector de hipótesis: cómo se lee que TODO lo que se ve pertenece a esa combinación.","Cuántas combinaciones tiene un proyecto real medio."
"SHL-08","Shell","Cambiar el modo de cálculo (Aula / Completo)","Simplificar o desplegar el conjunto de herramientas y explicaciones.","`settings.calculationMode`. Afecta a: herramientas visibles del rail (`classroomAdvanced`), aparición del `ClassroomGuide` sobre el lienzo, y comandos de la paleta.","src/features/topbar/TopBar.tsx:375-386, 487; src/features/canvas/ToolBar.tsx:188-193; src/features/workspace/WorkspaceShell.tsx:264; src/features/inspector/Inspector.tsx:303-309","src/features/classroom/ClassroomGuide.test.tsx; src/features/canvas/ToolBar.test.tsx","baja","inferencia","configuración","Proyecto.","Ninguna.","CUATRO sitios: TopBar zona contexto, «Más», Inspector › Vista, y el propio guía.","Duplicación EXCESIVA: es un ajuste de baja frecuencia con cuatro puertas permanentes.","F-06; F-03 (la etiqueta «Modo de cálculo» se renderiza a 8px).","Que el modo Aula no amputa capacidad: `showAdvanced` revela las herramientas avanzadas bajo demanda y se auto-revela si la activa está entre ellas.","8 Configuración / preferencias","Select en TopBar + segmented en Inspector.","Igual.","«Más» + Inspector.","Select / segmented.","Igual.","No.","No.","hoy persistente; el análisis sugiere disclosure","canvas chrome / panel","—","El rail y el lienzo cambian de composición.","—","Parte del TopBar.","DECISIÓN: es una preferencia de sesión, no una acción de trabajo. Cuatro puertas permanentes para ella es el ejemplo más claro de acumulación del producto.","Segmented control unificado (hoy conviven `select` y `segmented-control` para el mismo estado).","Si el usuario cambia de modo alguna vez tras la primera elección."
